rank,produto,cycle,pass,tile,data_inicio,data_fim,tamanho_mb,granule_id,download_url,motivo_rank
1,RIVERSP,055,255,SA,2026-08-30T00:11:07Z,2026-08-30T00:21:21Z,10.732728004455566,SWOT_L2_HR_RiverSP_Reach_055_255_SA_20260830T001107_20260830T002121_PID0_01,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_055_255_SA_20260830T001107_20260830T002121_PID0_01.zip,Melhor candidato RIVERSP recente no envelope com buffer; produto vetorial/mais leve para validacao preliminar.
2,LAKESP,055,255,SA,2026-08-30T00:11:07Z,2026-08-30T00:21:21Z,12.05031967163086,SWOT_L2_HR_LakeSP_Prior_055_255_SA_20260830T001107_20260830T002121_PID0_01,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_LakeSP_D/SWOT_L2_HR_LakeSP_Prior_055_255_SA_20260830T001107_20260830T002121_PID0_01.zip,Melhor candidato LAKESP recente no envelope com buffer; produto vetorial/mais leve para validacao preliminar.
3,PIXC,055,227,127L,2026-08-29T00:16:10Z,2026-08-29T00:16:21Z,311.3316822052002,SWOT_L2_HR_PIXC_055_227_127L_20260829T001610_20260829T001621_PID0_01,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_PIXC_D/SWOT_L2_HR_PIXC_055_227_127L_20260829T001610_20260829T001621_PID0_01.nc,Melhor PIXC recente identificado apenas como referencia; nao baixar automaticamente por ser potencialmente pesado.
